CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
302316233,9,MANHATTAN,03/08/2025,21:00:00,03/08/2025,21:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,416,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",BAR/NIGHT CLUB,03/09/2025,(null),UNKNOWN,UNKNOWN,U,,18-24,ASIAN / PACIFIC ISLANDER,F,988773,202966,40.723781,-73.983681,"(40.723781, -73.983681)",POINT (-73.983681 40.723781)
303437486,9,MANHATTAN,03/22/2025,01:32:00,03/22/2025,01:34:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,416,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",BAR/NIGHT CLUB,03/22/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,986370,204317,40.727489,-73.992351,"(40.727489, -73.992351)",POINT (-73.992351 40.727489)
303278469,9,MANHATTAN,03/18/2025,13:00:00,03/18/2025,16:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,435,"LARCENY,GRAND FROM TRUCK, UNATTENDED",CLOTHING/BOUTIQUE,03/20/2025,(null),25-44,BLACK,M,,UNKNOWN,UNKNOWN,D,985912,204765,40.728718,-73.994001,"(40.728718, -73.994001)",POINT (-73.994001 40.728718)
302689965,9,MANHATTAN,02/10/2025,20:00:00,02/11/2025,08:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,(null),PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/12/2025,(null),45-64,BLACK,M,,65+,WHITE,F,987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",POINT (-73.9882902437563 40.7265156408036)
299369154,9,MANHATTAN,01/05/2025,00:30:00,01/05/2025,02:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,416,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",BAR/NIGHT CLUB,01/13/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,988755,203691,40.725771,-73.983748,"(40.725771, -73.983748)",POINT (-73.983748 40.725771)
300068055,9,MANHATTAN,01/26/2025,16:05:00,01/26/2025,16:15:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,419,"LARCENY,GRAND FROM PERSON,UNCL",FOOD SUPERMARKET,01/26/2025,(null),(null),(null),(null),,25-44,BLACK,F,986421,205555,40.730887,-73.992166,"(40.730887, -73.992166)",POINT (-73.992166 40.730887)
302998062,9,MANHATTAN,03/17/2025,10:00:00,03/17/2025,10:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,03/17/2025,(null),UNKNOWN,WHITE,M,,25-44,WHITE,F,986991,204234,40.727261,-73.990111,"(40.727261, -73.990111)",POINT (-73.990111 40.727261)
301470408,9,MANHATTAN,02/06/2025,23:35:00,02/07/2025,00:05:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,416,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",BAR/NIGHT CLUB,02/21/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,985936,204297,40.727435,-73.993916,"(40.727435, -73.993916)",POINT (-73.993916 40.727435)
303753484,9,MANHATTAN,03/27/2025,18:50:00,03/27/2025,19:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,106,FELONY,FRONT OF,FELONY ASSAULT,(null),PATROL BORO MAN SOUTH,108,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,BUS (NYC TRANSIT),03/27/2025,(null),25-44,BLACK HISPANIC,F,,25-44,BLACK,M,989393,205565,40.730913,-73.981444,"(40.730913, -73.981444)",POINT (-73.981444 40.730913)
299280485,9,MANHATTAN,01/11/2025,20:33:00,01/11/2025,20:40:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,01/11/2025,(null),UNKNOWN,WHITE,M,,UNKNOWN,UNKNOWN,E,986927,203389,40.72493208127459,-73.99034191604916,"(40.72493208127459, -73.99034191604916)",POINT (-73.99034191604916 40.72493208127459)
